Subject_ID,Group,Trial_Num,Segment_Num,N_Points,Duration_s,Peak_Velocity,Mean_Velocity,N_Submovements,SPARC
03,Aged_Control,1,26,126,3.75,2784.580558879358,187.124486343983,3,-1.5533940341548345
03,Aged_Control,1,27,183,5.46,2102.5117254264146,134.89453408781134,6,-2.1025111102096607
03,Aged_Control,1,28,83,2.46,2405.202694161136,287.3062149957511,5,-1.5200976659133318
03,Aged_Control,1,29,88,2.61,1758.550539506901,276.00706082414445,5,-1.7714143954319088
03,Aged_Control,1,30,79,2.34,2290.6816064704954,298.3445329432964,4,-1.6662622642833769
03,Aged_Control,1,31,68,2.01,1921.2987505562169,291.1865339605492,4,-1.8656541068446841
03,Aged_Control,1,32,63,1.859,1899.853795544394,327.6394163957311,7,-1.6223479068439637
03,Aged_Control,1,33,75,2.22,1764.8575642873375,229.3081200856148,3,-1.6598767052166068
03,Aged_Control,1,34,68,2.01,1895.6822284104226,269.50326387975355,5,-1.6149322165420321
03,Aged_Control,1,35,64,1.89,2813.903970563946,298.1612828000721,3,-1.445898078669332
03,Aged_Control,1,36,59,1.74,2551.3612924171352,318.4653113506859,3,-1.5405777616397582
03,Aged_Control,1,37,67,1.98,2670.1019539419153,276.1506861076577,5,-1.6487878778341654
03,Aged_Control,1,38,67,1.98,2614.117654412499,262.99403292625817,4,-1.560270646810607
03,Aged_Control,1,39,68,2.01,1852.625764212033,308.7466930649465,10,-1.9291094009828138
03,Aged_Control,1,40,53,1.56,3131.071878943554,373.59950725197695,4,-1.5030003354280794
03,Aged_Control,1,41,70,2.07,2218.921159282391,273.47063782881656,3,-1.6609953000630746
03,Aged_Control,1,42,85,2.52,2323.9095411731405,326.02672322121833,8,-1.6316301989521298
03,Aged_Control,1,43,77,2.28,2180.5325547265306,260.8716288453553,4,-1.640136503506483
03,Aged_Control,1,44,73,2.16,2350.2363947294957,260.90152803198384,2,-1.3858844584186403
03,Aged_Control,1,45,80,2.37,2220.6730711405685,282.16271365912854,7,-1.7057448410582816
03,Aged_Control,1,46,72,2.13,1774.510887227489,257.48489262313115,5,-1.6248397244512707
03,Aged_Control,1,47,77,2.28,1723.449383584495,233.08267447787256,3,-1.8870963511022696
03,Aged_Control,1,48,132,3.93,2013.8409955990992,211.9681067561609,12,-4.76890473576504
03,Aged_Control,1,49,88,2.61,1422.9273425660988,226.941727655295,6,-1.750069611226401
03,Aged_Control,1,50,79,2.34,2200.5681084665353,244.65295904056828,3,-1.4537001715212872
03,Aged_Control,1,51,127,3.78,1951.4239814954485,152.7682663541603,4,-1.74876337080623
03,Aged_Control,1,52,284,8.49,1696.4832906797374,81.29731999745324,30,-3.180753351571753
03,Aged_Control,1,53,213,6.36,903.3886821911774,93.26676199345955,25,-1.9174522670088163
03,Aged_Control,1,54,71,2.1,1796.9109295924777,245.04789766921238,3,-1.3943487588461596
03,Aged_Control,1,55,95,2.82,1652.1030368728334,197.70819165247775,7,-1.5123262441315874
03,Aged_Control,1,56,80,2.37,1317.6156917368269,232.40586913766182,6,-1.6062991084413256
03,Aged_Control,1,57,93,2.76,1155.1815634108964,199.12627076978526,6,-2.2636897743579767
